Date,Fallacy,Label,Subcategory,Context,fix,strategy,fixed_context
1992,"And I beg the American people, any time they think about reforming education to take this piece of society that doesn't have a chance and take these little pieces of clay that can be shaped and molded and give them the same love and nurture and affection and support you give your children and teach them that they're unique and that they're precious and that there's only one person in the world like them and you will see this nation bloom.",AppealtoEmotion,Flag waving,"They will live the American dream. And I beg the American people, any time they think about reforming education to take this piece of society that doesn't have a chance and take these little pieces of clay that can be shaped and molded and give them the same love and nurture and affection and support you give your children and teach them that they're unique and that they're precious and that there's only one person in the world like them and you will see this nation bloom. And we will have so many people who are qualified for the top job that it will be terrific.",,Removing additional reference,They will live the American dream.  And we will have so many people who are qualified for the top job that it will be terrific.
2008,a lot of screwy things,AppealtoEmotion,Loaded Language,"Earmarks account for 0.5 percent of the total federal budget. There's no doubt that the system needs reform and there are a lot of screwy things that we end up spending money on, and they need to be eliminated. But it's not going to solve the problem.",a lot of unconventional things,Rephrasing,"Earmarks account for 0.5 percent of the total federal budget. There's no doubt that the system needs reform and there are a lot of unconventional things that we end up spending money on, and they need to be eliminated. But it's not going to solve the problem."
1992,a fateful decision,AppealtoEmotion,Loaded Language,"We've got to have somebody that can get up there and bring out the firehoses and get it stopped, and that's what we're about in the Perot campaign. Three weeks from today, our nation will make a fateful decision. We can continue traveling the road we have been on, which has led to higher unemployment and worse economic times, or we can reach out for change.",a crucial decision,Rephrasing,"We've got to have somebody that can get up there and bring out the firehoses and get it stopped, and that's what we're about in the Perot campaign. Three weeks from today, our nation will make a crucial decision. We can continue traveling the road we have been on, which has led to higher unemployment and worse economic times, or we can reach out for change."
2004,a complete distortion,AppealtoEmotion,Loaded Language,May I respond briefly? What the vice president has just said is just a complete distortion. The American people saw John Kerry on Thursday night.,wrong.,Weakening,May I respond briefly? What the vice president has just said is just wrong.. The American people saw John Kerry on Thursday night.
2016,"But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should be ashamed of yourself.",AppealtoEmotion,Loaded Language,"Our Justice Department, where her husband goes onto the back of an airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case. But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should be ashamed of yourself. What you did—and this is after getting a subpoena from the United States Congress.","But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should apologize.",Rephrasing,"Our Justice Department, where her husband goes onto the back of an airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case. But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should apologize. What you did—and this is after getting a subpoena from the United States Congress."
1992,"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",AppealtoEmotion,Loaded Language,"Number one, we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation. So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody. Employers would cover their employees, government would cover the unemployed.","So we have to simplify basic health insurance policies, be very comprehensive for everybody.",Rephrasing,"Number one, we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation. So we have to simplify basic health insurance policies, be very comprehensive for everybody. Employers would cover their employees, government would cover the unemployed."
1980,accused,AppealtoEmotion,Loaded Language,"And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%. Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less. We don't have inflation because the people are living too well.",complained about,Weakening,"And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%. Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then complained about the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less. We don't have inflation because the people are living too well."
2016,"It is a disastrous plan, and it has to be repealed and replaced.",AppealtoEmotion,Loaded Language,"And not only are your rates going up by numbers that nobody’s ever believed, but your deductibles are going up, so that unless you get hit by a truck, you’re never going to be able to use it. It is a disastrous plan, and it has to be repealed and replaced. No, I mean, he clarified what he meant.",The plan has to be repealed and replaced.,Weakening,"And not only are your rates going up by numbers that nobody’s ever believed, but your deductibles are going up, so that unless you get hit by a truck, you’re never going to be able to use it. The plan has to be repealed and replaced. No, I mean, he clarified what he meant."
1984,"And the thought that we would share this with the Soviet Union is, in my opinion, a total non - STARTer.",AppealtoEmotion,Loaded Language,"And any research or development along the Star Wars schemes would inevitably involve our most advanced computers, our most advanced engineering. And the thought that we would share this with the Soviet Union is, in my opinion, a total non - STARTer. I would not let the Soviet Union get their hands on it at all.",And sharing this with the Soviet Union is a bad idea.,Weakening,"And any research or development along the Star Wars schemes would inevitably involve our most advanced computers, our most advanced engineering. And sharing this with the Soviet Union is a bad idea. I would not let the Soviet Union get their hands on it at all."
2016,a horrible thing,AppealtoEmotion,Loaded Language,"Come right over. It’s a horrible thing she’s doing. She’s got bad judgment, and honestly, so bad that she should never be president of the United States.",a bad thing,Weakening,"Come right over. It’s a bad thing she’s doing. She’s got bad judgment, and honestly, so bad that she should never be president of the United States."
2016,choking,AppealtoEmotion,Loaded Language,"But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going.",filling,Rephrasing,"But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were filling on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going."
2012,the greatest failure,AppealtoEmotion,Loaded Language,"So we can make changes in the way our culture works to help bring people away from violence and give them opportunity, and bring them in the American system. The -- the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious. Which was a program under this administration, and how it worked exactly I think we don't know precisely, where thousands of automatic, and AK-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords.",the disappointed,Rephrasing,"So we can make changes in the way our culture works to help bring people away from violence and give them opportunity, and bring them in the American system. The -- the disappointed we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious. Which was a program under this administration, and how it worked exactly I think we don't know precisely, where thousands of automatic, and AK-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords."
2004,I believe it was a failure of presidential leadership not to reauthorize the assault weapons ban.,AppealtoEmotion,Loaded Language,"To me, that's the best way to secure America. I believe it was a failure of presidential leadership not to reauthorize the assault weapons ban. I am a hunter.",I believe it was a bad idea of presidential leadership not to reauthorize the assault weapons ban.,Weakening,"To me, that's the best way to secure America. I believe it was a bad idea of presidential leadership not to reauthorize the assault weapons ban. I am a hunter."
2004,the most significant effort,AppealtoEmotion,Loaded Language,"I've tried to find the common ground, because that's what makes us strong as Americans. And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together. And one of the ways we're going to do it is, I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people, so America is really represented by the people who make up America.",do as much as we can,Rephrasing,"I've tried to find the common ground, because that's what makes us strong as Americans. And if Americans trust me with the presidency, I can pledge to you, we will have do as much as we can, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together. And one of the ways we're going to do it is, I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people, so America is really represented by the people who make up America."
1980,a disturbing pattern in the attitude of Governor Reagan,AppealtoEmotion,Loaded Language,"Every President who has served in the Oval Office since Harry Truman has been dedicated to the proposition of controlling nuclear weapons. To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan. He has never supported any of those arms control agreements - the limited test ban, SALT I, nor the Antiballistic Missile Treaty, nor the Vladivostok Treaty negotiated with the Soviet Union by President Ford - and now he wants to throw into the wastebasket a treaty to control nuclear weapons on a balanced and equal basis between ourselves and the Soviet Union, negotiated over a seven - year period, by myself and my two Republican predecessors.",a perplexing way to act in Governor Reagan,Weakening,"Every President who has served in the Oval Office since Harry Truman has been dedicated to the proposition of controlling nuclear weapons. To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a perplexing way to act in Governor Reagan. He has never supported any of those arms control agreements - the limited test ban, SALT I, nor the Antiballistic Missile Treaty, nor the Vladivostok Treaty negotiated with the Soviet Union by President Ford - and now he wants to throw into the wastebasket a treaty to control nuclear weapons on a balanced and equal basis between ourselves and the Soviet Union, negotiated over a seven - year period, by myself and my two Republican predecessors."
1996,"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",AppealtoEmotion,Loaded Language,"Secondly, in Haiti, political violence is much, much smaller than it was. Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election. And institutions are beginning to function.","Thirdly, in Bosnia there is no more war and there's an election now.",Weakening,"Secondly, in Haiti, political violence is much, much smaller than it was. Thirdly, in Bosnia there is no more war and there's an election now. And institutions are beginning to function."
2016,mess,AppealtoEmotion,Loaded Language,OK?Because look at the mess that we're in. Look at the mess that we're in.,thing,Rephrasing,OK?Because look at the thing that we're in. Look at the thing that we're in.
1960,"the most fantastic program, the worst program",AppealtoEmotion,Loaded Language,"He also indicates as far as his agricultural program is concerned that he feels it will cost less than ours. Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time. And I would also point out that Senator Kennedy left out a part of the cost of that program - a twenty - five percent rise in food prices that the people would have to pay.",a bad program,Weakening,"He also indicates as far as his agricultural program is concerned that he feels it will cost less than ours. Well, all that I can suggest is that all the experts who have studied the program indicate that it is a bad program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time. And I would also point out that Senator Kennedy left out a part of the cost of that program - a twenty - five percent rise in food prices that the people would have to pay."
1992,"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",AppealtoEmotion,Loaded Language,"My record on world affairs is pretty well known because I've been president for 4 years, so I feel I've been talking issues. You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it. But character is an important part of the equation.",I'm here to explain my plan.,Rephrasing + Removing additional info,"My record on world affairs is pretty well known because I've been president for 4 years, so I feel I've been talking issues. I'm here to explain my plan. But character is an important part of the equation."
2000,"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.",AppealtoEmotion,Loaded Language,"I agree with that. I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway. That there is some resentment of U. S. power.",The country has showed its potential.,Rephrasing + Removing additional info,I agree with that. The country has showed its potential. That there is some resentment of U. S. power.
2000,extraordinary,AppealtoEmotion,Loaded Language,"I think this is a very important moment for our country. We have achieved extraordinary prosperity. And in this election, America has to make an important choice.",a good,Weakening,"I think this is a very important moment for our country. We have achieved a good prosperity. And in this election, America has to make an important choice."
1988,"a very, very bad message",AppealtoEmotion,Loaded Language,"And Mr. Bush is right - the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",a bad message,Removing repetition,"And Mr. Bush is right - the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together."
2004,"Once again, the president is misleading America.",AppealtoEmotion,Loaded Language,"And in 2006, our seniors will get a prescription drug coverage in Medicare. Once again, the president is misleading America. I've actually passed 56 individual bills that I've personally written and, in addition to that, and not always under my name, there is amendments on certain bills.","Once again, the president is deceiving America.",Rephrasing,"And in 2006, our seniors will get a prescription drug coverage in Medicare. Once again, the president is deceiving America. I've actually passed 56 individual bills that I've personally written and, in addition to that, and not always under my name, there is amendments on certain bills."
1996,"But I do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be kicked out of the hospital, ending these drive - by deliveries.",AppealtoEmotion,Loaded Language,"We've done a lot to give the people more powers to make their own decisions over their own lives. But I do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be kicked out of the hospital, ending these drive - by deliveries. I think we were right to pass the Kassebaum - Kennedy bill, which says you can't lose your health insurance just because you change jobs or because someone in your family's been sick.","But I do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be forced to leave the hospital, ending these drive - by deliveries.",Weakening,"We've done a lot to give the people more powers to make their own decisions over their own lives. But I do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be forced to leave the hospital, ending these drive - by deliveries. I think we were right to pass the Kassebaum - Kennedy bill, which says you can't lose your health insurance just because you change jobs or because someone in your family's been sick."
2008,unnecessary and wasteful spending,AppealtoEmotion,Loaded Language,"And spending, I know, can be brought under control because I have fought against excessive spending my entire career. And I got plans to reduce and eliminate unnecessary and wasteful spending and if there's anybody here who thinks there aren't agencies of government where spending can be cut and their budgets slashed they have not spent a lot of time in Washington. I just want to make this point, Jim.",careless spending,Rephrasing,"And spending, I know, can be brought under control because I have fought against excessive spending my entire career. And I got plans to reduce and eliminate careless spending and if there's anybody here who thinks there aren't agencies of government where spending can be cut and their budgets slashed they have not spent a lot of time in Washington. I just want to make this point, Jim."
2004,the deadly technologies,AppealtoEmotion,Loaded Language,"I have not suggested there's a connection between Iraq and 9/11, but there's clearly an established Iraqi track record with terror. And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years. Now, the fact of the matter is, the big difference here, Gwen, is they are not prepared to deal with states that sponsor terror.",the harmful technologies,Rephrasing,"I have not suggested there's a connection between Iraq and 9/11, but there's clearly an established Iraqi track record with terror. And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the harmful technologies that Saddam Hussein had developed and used over the years. Now, the fact of the matter is, the big difference here, Gwen, is they are not prepared to deal with states that sponsor terror."
1988,We're going to have to - the MX. We're going to have to do that. It's Christmas.,AppealtoEmotion,Loaded Language,"And under me, when I lead this country, the secretary of defense is going to have to make the choices, between how we keep, how we protect the survivability of our nuclear deployment on the Midgetman missile, or on the Minuteman, whatever it is. We're going to have to - the MX. We're going to have to do that. It's Christmas. (Laughter) Wouldn't it be nice to be perfect?",We're going to have to - the MX.,Removing repetition,"And under me, when I lead this country, the secretary of defense is going to have to make the choices, between how we keep, how we protect the survivability of our nuclear deployment on the Midgetman missile, or on the Minuteman, whatever it is. We're going to have to - the MX. (Laughter) Wouldn't it be nice to be perfect?"
2004,incredibly enough,AppealtoEmotion,Loaded Language,"And we made good progress early on. The No Child Left Behind Act, incredibly enough, was good work between me and my administration and people like Senator Ted Kennedy. And we worked together with Democrats to relieve the tax burden on the middle class and all who pay taxes in order to make sure this economy continues to grow.",,Removing additional information,"And we made good progress early on. The No Child Left Behind Act, , was good work between me and my administration and people like Senator Ted Kennedy. And we worked together with Democrats to relieve the tax burden on the middle class and all who pay taxes in order to make sure this economy continues to grow."
2016,you acid washed,AppealtoEmotion,Loaded Language,"And I was so surprised to see him sign on with the devil. But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you acid washed, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing. And I’ll tell you what.",you handled in your own way,Rephrasing,"And I was so surprised to see him sign on with the devil. But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you handled in your own way, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing. And I’ll tell you what."
1960,we found that six hundred million people went behind the Iron Curtain,AppealtoEmotion,Loaded Language,"First, we have to learn from the past, because we cannot afford to make the mistakes of the past. In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain. And at the end of that seven years we were engaged in a war in Korea which cost of thirty thousand American lives.",we found that six hundred million people were censored,Rephrasing,"First, we have to learn from the past, because we cannot afford to make the mistakes of the past. In the seven years before this Administration came into power in Washington, we found that six hundred million people were censored. And at the end of that seven years we were engaged in a war in Korea which cost of thirty thousand American lives."
1984,pure,AppealtoEmotion,Loaded Language,"This nation is the most religious nation on Earth -- more people go to church and synagogues than any other nation on Earth -- and it's because we kept the politicians and the state out of the personal exercise of our faith. That's why faith in the United States is pure and unpolluted by the intervention of politicians. And I think if we want to continue -- as I do -- to have a religious nation, lets keep that line and never cross it.",chaste,Rephrasing,"This nation is the most religious nation on Earth -- more people go to church and synagogues than any other nation on Earth -- and it's because we kept the politicians and the state out of the personal exercise of our faith. That's why faith in the United States is chaste and unpolluted by the intervention of politicians. And I think if we want to continue -- as I do -- to have a religious nation, lets keep that line and never cross it."
2004,"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",AppealtoEmotion,Loaded Language,"Thirdly, one of the reasons why there's still high cost in medicine is because this is -- they don't use any information technology. It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America. And so, we've got to introduce high technology into health care.","It's very slow, compared to other industries here in America.",Rephrasing,"Thirdly, one of the reasons why there's still high cost in medicine is because this is -- they don't use any information technology. It's very slow, compared to other industries here in America. And so, we've got to introduce high technology into health care."
2016,It is—our country has the slowest growth and jobs are a disaster.,AppealtoEmotion,Loaded Language,We have the slowest growth since 1929. It is—our country has the slowest growth and jobs are a disaster.,The growth is slow and there's a bad situation for the jobs.,Weakening,We have the slowest growth since 1929. The growth is slow and there's a bad situation for the jobs.
2016,such foolish things,AppealtoEmotion,Loaded Language,I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country.,silly things,Rephrasing,I agree with everything she said. I began this campaign because I was so tired of seeing silly things happen to our country. This is a great country.
1960,an offensive for the minds and hearts and souls of men,AppealtoEmotion,Loaded Language,"Now when they talk about our record here, it is well that they recognize that they have to stand up for their record as well. So let me summarize by saying this: I'm not satisfied with what we're doing in the cold war because I believe we have to step up our activities and launch an offensive for the minds and hearts and souls of men. It must be economic; it must be technological; above all it must be ideological.",a general offensive,Weakening,"Now when they talk about our record here, it is well that they recognize that they have to stand up for their record as well. So let me summarize by saying this: I'm not satisfied with what we're doing in the cold war because I believe we have to step up our activities and launch a general offensive. It must be economic; it must be technological; above all it must be ideological."
1988,"Now, that's a certain passion that in my view it's misguided passion.",AppealtoEmotion,Loaded Language,"He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war. Now, that's a certain passion that in my view it's misguided passion. He - we have a big difference on issues.",I don't stand with this situation.,Rephrasing,He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war. I don't stand with this situation. He - we have a big difference on issues.
2004,"I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country.",AppealtoEmotion,Loaded Language,"That's not where we are today. I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country. I've never seen such ideological squabbles in the Congress of the United States.",It's sad to see a former divider president presiding over a divided country more than ever.,Rephrasing,That's not where we are today. It's sad to see a former divider president presiding over a divided country more than ever. I've never seen such ideological squabbles in the Congress of the United States.
2004,the frivolous lawsuits,AppealtoEmotion,Loaded Language,"That shows a lack of understanding. Doctors practice defensive medicine because of all the frivolous lawsuits that cost our government $28 billion a year. And finally, he said he's going to have a novel health care plan.",the superficial lawsuits,Rephrasing,"That shows a lack of understanding. Doctors practice defensive medicine because of all the superficial lawsuits that cost our government $28 billion a year. And finally, he said he's going to have a novel health care plan."
1988,single most important public health emergency we've had in our lifetimes,AppealtoEmotion,Loaded Language,"(Applause) Let me say this about AIDS. It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS. I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January.",an important public health emergency,Weakening,"(Applause) Let me say this about AIDS. It's the single most important public health crisis, an important public health emergency and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS. I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January."
1996,Some schools aren't safe. Some schools aren't even safe. Your choice is nothing.,AppealtoEmotion,Loaded Language,"Why can't Landale Shakespeare in Cleveland or Pilar Gonzales in Milwaukee give their children an opportunity to go to a better school. Some schools aren't safe. Some schools aren't even safe. Your choice is nothing. Let's give them a real choice, the kind of choice you had, and the kind of choice a lot of people have in America.",Some school are not safe.,Removing repetition,"Why can't Landale Shakespeare in Cleveland or Pilar Gonzales in Milwaukee give their children an opportunity to go to a better school. Some school are not safe. Let's give them a real choice, the kind of choice you had, and the kind of choice a lot of people have in America."
2016,the stupidity of our foreign policy,AppealtoEmotion,Loaded Language,"You take a look at Mosul. The biggest problem I have with the stupidity of our foreign policy, we have Mosul. They think a lot of the ISIS leaders are in Mosul.",Mosul represents a minor problem fot our foreign policy.,Weakening,"You take a look at Mosul. The biggest problem I have with Mosul represents a minor problem fot our foreign policy., we have Mosul. They think a lot of the ISIS leaders are in Mosul."
1980,a heartless kind of approach,AppealtoEmotion,Loaded Language,"One of those ideas was to repeal the minimum wage, and several times this year, Governor Reagan has said that the major cause of unemployment is the minimum wage. This is a heartless kind of approach to the working families of our country, which is typical of many Republican leaders of the past, but, I think, has been accentuated under Governor Reagan. In California - I'm surprised Governor Reagan brought this up - he had the three largest tax increases in the history of that state under his administration.",a bad approach,Weakening,"One of those ideas was to repeal the minimum wage, and several times this year, Governor Reagan has said that the major cause of unemployment is the minimum wage. This is a bad approach to the working families of our country, which is typical of many Republican leaders of the past, but, I think, has been accentuated under Governor Reagan. In California - I'm surprised Governor Reagan brought this up - he had the three largest tax increases in the history of that state under his administration."
1980,boondoggle,AppealtoEmotion,Loaded Language,"That is just a downpayment, in my opinion. But, unlike Governor Reagan, I do not support a boondoggle like the MX missile. I've just gotten a report from the Air Force that indicates that the 30-year lifecycle cost of that system is going to be $100 billion.",lie,Rephrasing,"That is just a downpayment, in my opinion. But, unlike Governor Reagan, I do not support a lie like the MX missile. I've just gotten a report from the Air Force that indicates that the 30-year lifecycle cost of that system is going to be $100 billion."
2004,chaotic,AppealtoEmotion,Loaded Language,"The key to success in Afghanistan has been, again, to go in and go after the terrorists, which we've done, and also take down the Taliban regime which allowed them to function there, in effect sponsors, if you will, of the Al Qaida organization. John Edwards, two and a half years ago, six months after we went into Afghanistan announced that it was chaotic, the situation was deteriorating, the warlords were about to take over. Here we are, two and a half years later, we're four days away from a democratic election, the first one in history in Afghanistan.",turbulent,Rephrasing,"The key to success in Afghanistan has been, again, to go in and go after the terrorists, which we've done, and also take down the Taliban regime which allowed them to function there, in effect sponsors, if you will, of the Al Qaida organization. John Edwards, two and a half years ago, six months after we went into Afghanistan announced that it was turbulent, the situation was deteriorating, the warlords were about to take over. Here we are, two and a half years later, we're four days away from a democratic election, the first one in history in Afghanistan."
1980,eternally optimistic,AppealtoEmotion,Loaded Language,"I believe in it. I am eternally optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem. I know those things can grow out of despair in an inner city, when there's hopelessness at home, lack of work, and so forth.",always optimistic,Rephrasing,"I believe in it. I am always optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem. I know those things can grow out of despair in an inner city, when there's hopelessness at home, lack of work, and so forth."
2008,"That, to me, was so hurtful.",AppealtoEmotion,Loaded Language,"One of them happened just the other day, when a man I admire and respect -- I've written about him -- Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with the worst chapter in American history, segregation, deaths of children in church bombings, George Wallace. That, to me, was so hurtful. And, Senator Obama, you didn't repudiate those remarks.",I didn't like it.,Rephrasing,"One of them happened just the other day, when a man I admire and respect -- I've written about him -- Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with the worst chapter in American history, segregation, deaths of children in church bombings, George Wallace. I didn't like it. And, Senator Obama, you didn't repudiate those remarks."
2004,the catastrophic cases,AppealtoEmotion,Loaded Language,"I have a plan that's going to allow people 55 to 64 to buy into Medicare early. And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable. Now, all of that can happen, but I have to ask you to do one thing: Join me in rolling back the president's unaffordable tax cut for people earning more than $200,000 a year.",the unfortunate cases,Rephrasing,"I have a plan that's going to allow people 55 to 64 to buy into Medicare early. And I have a plan that will take the unfortunate cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable. Now, all of that can happen, but I have to ask you to do one thing: Join me in rolling back the president's unaffordable tax cut for people earning more than $200,000 a year."
1984,a tough and a ruthless adversary,AppealtoEmotion,Loaded Language,"I have no illusions about the Soviet Union leadership or the nature of that state. They are a tough and a ruthless adversary, and we must be prepared to meet that challenge, and I would. Where I part with the President is that despite all of those differences we must, as past Presidents before this one have done, meet on the common ground of survival.",a demanding adversary,Weakening,"I have no illusions about the Soviet Union leadership or the nature of that state. They are a demanding adversary, and we must be prepared to meet that challenge, and I would. Where I part with the President is that despite all of those differences we must, as past Presidents before this one have done, meet on the common ground of survival."
1976,an absolute disgrace,AppealtoEmotion,Loaded Language,I believe that the boycott of American businesses by the Arab countries because those businesses trade with Israel or because they have American Jews who are owners or directors in the company is an absolute disgrace. This is the first time that I've - remember in the history of our country when we've let a foreign country circumvent or change our Bill of Rights.,a shame,Weakening,I believe that the boycott of American businesses by the Arab countries because those businesses trade with Israel or because they have American Jews who are owners or directors in the company is a shame. This is the first time that I've - remember in the history of our country when we've let a foreign country circumvent or change our Bill of Rights.
2008,"And the -- the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because it's a gateway.",AppealtoEmotion,Loaded Language,"We Republicans came to power to change government, and government changed us. And the -- the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because it's a gateway. It's a gateway to out - of - control spending and corruption.",Earmarking is a gateway.,Rephrasing,"We Republicans came to power to change government, and government changed us. Earmarking is a gateway. It's a gateway to out - of - control spending and corruption."
