starting,fixed
"But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro - choice and pro - life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world.","But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro - choice and pro - life position -- we have a President who vetoed a congressional ban on the practice of snatching life away from a child just moments before he or she enters the world."
The fact is the Medicare problems have not been addressed. We have had eight years of problems with prescription drugs not being addressed. Social Security problem 's not been addressed. The educational problem has not been addressed. We 've had eight years of talk but no action.,The fact is the Medicare problems have not been addressed. No action in eight years.
"Nobody's been luckier than I've been, all the way across the spectrum, and the greatest riches of all are my wife and children.","Nobody's been luckier than I've been, and the greatest riches of all are my wife and children."
"This is a group of killers who will not only kill here, but kill children in Russia, that'll attack unmercifully in Iraq, hoping to shake our will.",This is a group of killers.
President Clinton stopped them dead in their tracks.,President Clinton stopped them dead at the beginning.
"Now, Prime Minister Allawi came here, and he said the terrorists are pouring over the border. That's Allawi's assessment.","Now, Prime Minister Allawi came here giving updates for terrorists. That's Allawi's assessment."
And now our kids are being killed with ammos right out of that dump.,And we'll be in trubles..
"I think that this is a kind of a hypocritical policy when, at the same time, we're maintaining a detente with the one nation in the world where there are no human rights at all - the Soviet Union.","I think that this is a wrong policy when, at the same time, we're maintaining a detente with the one nation in the world where there are no human rights at all - the Soviet Union."
"Well, Mr. Greenberg, I simply cannot allow to go unpassed the statements that have just been made by Mr. Reagan, who once again, has demonstrated, I think, a total misunderstanding of the energy crisis that confronts, not only this country, but the world, when he suggests that we have 27 years' supply of natural gas, 47 years' supply of oil, and all the rest, and that we really.","Well, Mr. Greenberg, I simply cannot allow to go unpassed the statements that have just been made by Mr. Reagan, who once again, has demonstrated, I think, a misconception of the energy crisis that confronts, not only this country, but the world, when he suggests that we have 27 years' supply of natural gas, 47 years' supply of oil, and all the rest, and that we really."
"The most recent figures, the last three months, on the third quarter of this year, the inflation rate is 7% - still too high, but it illustrates very vividly that in addition to providing an enormous number of jobs - nine million new jobs in the last three and a half years - that the inflationary threat is still urgent on us.","The most recent figures, the last three months, on the third quarter of this year, the inflation rate is 7% - still too high, but it illustrates very vividly that in addition to providing a lot of jobs - nine million new jobs in the last three and a half years - that the inflationary threat is still urgent on us."
"But I would like to call the attention of the people to the fact that that so - called simple amendment would be used by mischievous men to destroy discriminations that properly belong, by law, to women respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them.","But I would like to call the attention of the people to the fact that that so - called simple amendment would be used by rude men to destroy discriminations that properly belong, by law, to women respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them."
I favor higher salaries for teachers.,Teachers should get higher salaries.
"But you're absolutely correct, it is a threat, it's a huge threat.",But you're absolutely correct.
"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.","But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you."
It is a disaster.,It's bad.
"Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation?","Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of inaction?"
Even with more crude available they're probably not going to be able to do very much by way of producing additional home heating oil for this winter.,Even with more oil available they're probably not going to be able to do very much by way of producing additional home heating oil for this winter.
We also have to see that all of the people of the United States - the tremendous talents that our people have - are used adequately.,We also have to see that all of the people of the United States - the great talents that our people have - are used adequately.
They used to fish in troubled waters whenever they had the opportunity in the Middle East.,They used to take advantage whenever they had the opportunity in the Middle East.
"Well, President Obama and Secretary Clinton created a vacuum the way they got out of Iraq, because they got out—what, they shouldn't have been in, but once they got in, the way they got out was a disaster.","Well, President Obama and Secretary Clinton created a vacuum the way they got out of Iraq, because they got out—what, they shouldn't have been in, but once they got in, the way they got out was a flop."
"We haven’t seen anything like this, the carnage all over the world. And they look and they see.",We haven’t seen anything like this.
"But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits.","But if you're a younger worker, if you're younger, you better hope this country thinks differently."
"As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a tremendous increase over last year and a substantial increase over the earlier part of this year.","As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a large increase over last year and a substantial increase over the earlier part of this year."
"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.","Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad."
"Now, my fellow Americans, that's an invitation to disaster.","Now, my fellow Americans, that's a bad idea."
We have been wholly indifferent to Latin America until the last few months.,We have been completely indifferent to Latin America until the last few months.
"The thing about Iraq, of course, was at the end of the war we had pretty well decimated their military.","The thing about Iraq, of course, was at the end of the war they'll lose a lot of  their military."
I think this is an opportunity for the United States to test President Putin of Russia.,I think this is an opportunity to test President Putin of Russia.
"He twisted arms and got six Democrats to vote the other way, but we lost by one vote.","He convinced six Democrats to vote the other way, but we lost by one vote."
"And secondly, to think that another round of resolutions would have caused Saddam Hussein to disarm, disclose, is ludicrous, in my judgment.","And secondly, to think of disarming, getting revelations from Saddam Hussein is silly."
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,We were safer before President Bush came to office. Now their situation is different.
And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy. He was a fantastic governor of Missouri.,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan.
"President Obama was right, he said that that was outrageous to have deficits as high as half a trillion dollars under the Bush years.","President Obama was right, he said that that was a shame to have deficits as high as half a trillion dollars under the Bush years."
Let me just say that obviously tonight we're going to hear some phony numbers about what I think and what we ought to do.,Let me just say that obviously tonight we're going to hear some not real numbers about what I think and what we ought to do.
Communism is the enemy of all religions; and we who do believe in God must join together.,Christians have many things in common with Communism.
"The most important crucial difference in this election campaign, in my judgment, is the approach to the control of nuclear weaponry and the inclination to control or not to control the spread of atomic weapons to other nations who don't presently have it, particularly terrorist nations.","The main difference in this election campaign, in my judgment, is the approach to the control of nuclear weaponry and the inclination to control or not to control the spread of atomic weapons to other nations who don't presently have it, particularly terrorist nations."
"First of all, let me sharply disagree with the President on sharing the most advanced, the most dangerous, the most important technology in America with the Soviet Union.","First of all, let me disagree with the President on sharing the main technology in America with the Soviet Union."
This is a difficult and sensitive matter.,This is a sensitive matter.
"Some desperate child needs to have somebody put their arm around them and say, we love you.","Some child needs to have somebody put their arm around them and say, we love you."
"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.","I am suggesting that there are a lof of issues in the business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation."
"With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.",we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.
We cannot be strong militarily when we're teeter - tottering on top of a mountain of debt which has been created in the past eight years.,We cannot be strong militarily if we are faltering with a large debt created in the last eight years.
"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.","In California, the State Legislature unanimously passed a law that was signed by the Democratic Governor that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder."
"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",There's need for a new direction.
"Once again, the president is misleading America.","Once again, the president is deceiving America."
"You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.","You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, situations , where you have so many bad things happening, this is like medieval times."
"The members of Congress, Arthur Vandenberg, Walter George, were part of the process, and before our nation made a secret agreement, or before we made a bluffing statement, we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people.","The members of Congress, Arthur Vandenberg, Walter George, were part of the process, and before our nation made a secret agreement, or before we made a misleading statement, we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people."
I think that he insulted the intelligence of the American people and I'm awful proud that the American people rejected that tactic so overwhelmingly that he decided he had made a mistake.,I think that he insulted the intelligence of the American people and I agree with the American people that rejected that tactic  that he decided he had made a mistake.
"In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain.","In the seven years before this Administration came into power in Washington, we found that six hundred million people were censored."
The -- the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious.,The -- the disappointed we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious.
The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,We faced hard situations.
And I think that's shocking; it's shameful.,And I think that's shocking; it's indecent.
"And I'm only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security.","And I'm only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is the last chance, when everything else has failed, and then only with regard to our national security."
"He has a 15-year - old daughter named Caley, who is in Sarasota High School. Her science class was supposed to be for 24 students. She's the 36th student in that classroom. They sent me a picture of her in the classroom. They can't squeeze another desk in for her, so she has to stand during class.","Her daughter's science class cannot squeeze in all the students, so someone has to stand during class."
"But when a man who hopes to be President says, take this treaty, discard it, do not vote, do not debate, do not explore the issues, do not finally capitalize on this long negotiation - that is a very dangerous and disturbing thing.","But when a man who hopes to be President says, take this treaty, discard it, do not vote, do not debate, do not explore the issues, do not finally capitalize on this long negotiation."
This is ridiculous and it ought to be changed.,This is bizarre and it ought to be changed.
So let me summarize by saying this: I'm not satisfied with what we're doing in the cold war because I believe we have to step up our activities and launch an offensive for the minds and hearts and souls of men.,So let me summarize by saying this: I'm not satisfied with what we're doing in the cold war because I believe we have to step up our activities and launch a general offensive.
In my opinion this is the same kind of woolly thinking that led to disaster for America in Korea.,In my opinion this is the same way to think that led to disaster for America in Korea.
Why I disagree with the MX is that it's a sitting duck.,Why I disagree with the MX is that it's too easy to catch it.
"I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans.","I saw cases in West Virginia, here in the United States, with many povery problems.."
"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.","They know that these toxic waste dumps should have been cleaned up a long time ago, and they know there are many risks, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment."
We don't want him fishing in troubled waters in the Middle East.,We don't want him get in trouble in the Middle East.
"That's why Senator Hagel, Republican, says, you know: beyond pitiful, beyond embarrassing, in the zone of dangerous.","That's why Senator Hagel, Republican, says, you know: beyond the limit."
I think this is an extraordinarily important decision we'll make on November 7th.,I think this is an significant decision we'll make on November 7th.
I've been disturbed by the tone and the tenor of this campaign.,I didn't like this campaign.
"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan.","I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has some connections with the Ku Klux Klan."
I will fight for middle - class families and working men and women and I will never let you down.,Middle-class families and working men and women will be helped.
"And everybody knows, including the Wall Street Journal, hardly a friend of the Democratic party of this administration, that the '82 tax increase he sponsored in inflation - adjusted dollars was the biggest tax increase in American history.",The '82 tax increase he sponsored in inflation - adjusted dollars was the biggest tax increase in American history.
"It would, of course, be a very serious situation if we had evidence, credible evidence, that Saddam Hussein was developing weapons of mass destruction.","It would, of course, be a very serious situation if we had evidence, that Saddam Hussein was developing weapons of mass destruction."
And that is the continued discussion and claim that somehow I am the villain who is going to pull the Social Security checks out from those people who are dependent on them.,And that is the continued discussion and claim that somehow I am the offender who is going to pull the Social Security checks out from those people who are dependent on them.
"See, I think the mission has somewhat become fuzzy.","See, I think the mission has somewhat become vague."
That's what he's done when it comes to economic policies that will help working families get a leg up.,That's what he's done when it comes to economic policies that will help working families boost.
"To repeat myself, we have this year the opportunity, which we'll realize, to produce 800 million tons of coal - an unequaled record in the history of our country.","To repeat myself, we have this year the opportunity, which we'll realize, to produce 800 million tons of coal - a unique record in the history of our country."
"I don't believe we ought to pay our bills through inflation, through a phony interest rate.","I don't believe we ought to pay our bills through inflation, through an assumed interest rate."
"Three weeks from today, our nation will make a fateful decision.","Three weeks from today, our nation will make a crucial decision."
"The allusions to basic changes in the minimum wage is another, and the deleterious comments that Governor Reagan has made about unemployment compensation.","The allusions to basic changes in the minimum wage is another, and the bad comments that Governor Reagan has made about unemployment compensation."
I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake.,I was in Los Angeles recently and I talked to a woman who had an abortion.
"By the way, North Korea, most repressive and brutal regime probably on Earth.","By the way, North Korea, has a tough regime.."
One out of almost two children in Cleveland are now living in poverty.,One out of almost two person in Cleveland are now living in poverty.
"Were ready to go to work at the state and local level, all of us. I know the private sector is. People are all over the country.",Public and private sector are ready.
Look at that horrible—these are radical Islamic terrorists.,There are terrorists.. And she won’t even mention the word and nor will President Obama.
"I am eternally optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem.","I am always optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem."
This man has been disparaging my plan with all this Washington fuzzy math.,This man has been minimizing my plan with all this Washington fuzzy math.
But I support the death penalty in the most heinous cases.,But I support the death penalty when it's scandalous.
"It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans.","It’s with him and with the offensive and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans."
That's why faith in the United States is pure and unpolluted by the intervention of politicians.,That's why faith in the United States is chaste and unpolluted by the intervention of politicians.
"But it's a bad, bad experience.",But it's not a good experience..
"But I also believe that because we are the United States of America, we're a country with a great, unbelievable Constitution, with rights that we afford people, that you can't discriminate in the workplace.","But I also believe that because we are the United States of America, we're a country with valuable Constitution, with rights that we afford people, that you can't discriminate in the workplace."
I've heard them explain - try to explain - how they tell their children how they can go into a store and buy a loaf of bread but then can't go into that store and sit at the counter and get a Coca Cola.,I've heard them explain - try to explain - how hard is for them enter in a supermarket.
"Just today, policemen was shot, two killed. And this is happening on a weekly basis.","Just today, there has been problems with the police."
Because this ever - rising arms race madness makes both nations less secure.,Because this ever-rising arms race makes both nations less secure.
That's why he called him a grave threat.,That's why he called him a risk.
That was a great—I thought a great display of presidential leadership.,"That was a great—I thought a notable expression of leadership But, you know, let’s talk about what’s really going on here, Martha, because our intelligence community just came out and said in the last few days that the Kremlin, meaning Putin and the Russian government, are directing the attacks, the hacking on American accounts to influence our election."
And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,And in our country we have evolved to a point where we've put millions of innocent people in jail because of their disperate conditions.
"To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness.",To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted.
"This president has made, I regret to say, a colossal error of judgment.",This president has made a mistake.
"First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.","First of all, I won't repeat the mistake that I regret enormously."
"It's not the government's money, it's your money. You're entitled to it, and we would like to see to it that we provide tax relief for everybody who pays taxes.",We would like to see to it that we provide tax relief for everybody who pays taxes.
But I have tremendous respect for women.,But I have respect for women. And women have respect for me.
"Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.","Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have economic disorder."
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,Families are under tremendous pressure.
"He just doesn't understand how the borders work, evidently, to say that. That is an outrageous claim.","He just doesn't understand how the borders work, evidently, to say that."
We're going to have to - the MX. We're going to have to do that. It's Christmas.,We're going to have to - the MX.
